                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.54205,                0.37507,                0.93404,                0.95062,                0.94131,                0.97791,                0.89015,                0.67205,                0.43509,                0.98743,               0.003169,               0.003169,               0.003169
                     71,                0.53506,                0.37736,                0.93337,                0.95326,                0.95017,                0.97703,                0.89121,                0.67191,                0.43929,                0.98983,                0.00307,                0.00307,                0.00307
                     72,                0.54156,                0.37924,                0.93739,                0.95045,                0.94574,                0.97762,                 0.8914,                0.66915,                0.43677,                0.98814,               0.002971,               0.002971,               0.002971
                     73,                0.54267,                0.37715,                0.93694,                0.94913,                0.94385,                 0.9776,                0.89098,                0.66186,                0.43967,                0.98539,               0.002872,               0.002872,               0.002872
                     74,                  0.528,                 0.3731,                0.93085,                 0.9536,                0.94628,                0.97761,                0.89122,                0.66268,                0.44281,                0.98669,               0.002773,               0.002773,               0.002773
                     75,                0.52235,                0.36793,                0.92913,                0.95653,                0.94843,                0.97774,                0.89326,                0.66138,                0.43996,                0.98571,               0.002674,               0.002674,               0.002674
                     76,                0.52799,                0.37106,                 0.9309,                0.95638,                0.94566,                0.97739,                0.89397,                0.66255,                0.44065,                0.98616,               0.002575,               0.002575,               0.002575
                     77,                 0.5375,                0.37425,                0.93549,                0.95308,                0.94691,                0.97693,                0.89217,                0.66126,                0.44054,                 0.9843,               0.002476,               0.002476,               0.002476
                     78,                0.53892,                0.37666,                0.93433,                0.95337,                0.94689,                0.97709,                0.89448,                0.65868,                0.43939,                0.98329,               0.002377,               0.002377,               0.002377
                     79,                0.52161,                0.36447,                0.92617,                0.95327,                0.94694,                0.97734,                0.89411,                0.65852,                0.43878,                0.98377,               0.002278,               0.002278,               0.002278
                     80,                0.51814,                0.36511,                0.92624,                0.95237,                0.94845,                0.97744,                0.89546,                 0.6551,                 0.4326,                0.98068,               0.002179,               0.002179,               0.002179
                     81,                 0.5179,                 0.3627,                0.92594,                0.95235,                0.94897,                0.97733,                0.89404,                0.65876,                0.43537,                0.98407,                0.00208,                0.00208,                0.00208
                     82,                0.51355,                0.36615,                0.92511,                0.95389,                0.94907,                0.97738,                0.89594,                0.65709,                0.43247,                0.98222,               0.001981,               0.001981,               0.001981
                     83,                0.51974,                0.36564,                0.92826,                0.95649,                0.94927,                0.97759,                0.89497,                0.65723,                0.43291,                0.98206,               0.001882,               0.001882,               0.001882
                     84,                0.51079,                0.36096,                0.92241,                0.95779,                0.94948,                0.97812,                0.89532,                0.65598,                0.43187,                0.98116,               0.001783,               0.001783,               0.001783
                     85,                0.51393,                0.36069,                0.92561,                0.95713,                 0.9501,                0.97796,                0.89621,                0.65341,                0.43275,                0.97979,               0.001684,               0.001684,               0.001684
                     86,                0.50759,                0.36001,                0.92258,                0.95875,                0.94754,                0.97845,                0.89633,                0.65289,                0.43114,                0.97986,               0.001585,               0.001585,               0.001585
                     87,                0.50594,                0.35417,                0.92193,                0.95974,                0.95009,                0.97824,                0.89646,                0.65133,                0.43199,                0.97967,               0.001486,               0.001486,               0.001486
                     88,                0.50866,                0.35965,                 0.9216,                0.95552,                0.94896,                0.97803,                0.89672,                0.64785,                0.42858,                0.97838,               0.001387,               0.001387,               0.001387
                     89,                0.50908,                0.35888,                0.92266,                0.95746,                0.95192,                 0.9783,                0.89693,                0.64638,                0.43074,                0.97841,               0.001288,               0.001288,               0.001288
                     90,                0.50632,                0.35812,                0.92272,                0.95291,                0.95058,                0.97756,                0.89706,                0.64756,                0.43102,                 0.9797,               0.001189,               0.001189,               0.001189
                     91,                0.48345,                0.32445,                0.91538,                0.95655,                0.94967,                0.97806,                 0.8967,                0.64728,                0.42797,                0.97928,                0.00109,                0.00109,                0.00109
                     92,                0.47033,                0.31691,                0.90819,                0.95477,                0.95061,                0.97799,                 0.8975,                0.64695,                0.42521,                0.97857,               0.000991,               0.000991,               0.000991
                     93,                0.46722,                0.31277,                0.90939,                0.95831,                0.94977,                0.97829,                0.89838,                0.64678,                0.42536,                0.97783,               0.000892,               0.000892,               0.000892
                     94,                 0.4642,                0.31118,                0.90643,                  0.959,                0.94723,                0.97821,                0.89834,                0.64707,                0.42689,                0.97807,               0.000793,               0.000793,               0.000793
                     95,                0.46186,                0.30969,                0.90558,                0.95728,                0.94843,                0.97828,                0.89803,                0.64626,                0.42713,                0.97739,               0.000694,               0.000694,               0.000694
                     96,                0.45322,                0.30568,                0.90063,                0.95608,                0.94857,                0.97826,                0.89796,                 0.6454,                0.42816,                0.97679,               0.000595,               0.000595,               0.000595
                     97,                0.45362,                0.31162,                0.90423,                0.95628,                0.94723,                0.97841,                0.89821,                0.64524,                0.43003,                0.97727,               0.000496,               0.000496,               0.000496
                     98,                0.44714,                0.30456,                0.89831,                0.95483,                0.95115,                0.97837,                0.89834,                0.64538,                0.43029,                0.97793,               0.000397,               0.000397,               0.000397
                     99,                0.45032,                0.30653,                0.90078,                 0.9546,                0.95097,                 0.9784,                0.89843,                0.64561,                0.42973,                0.97871,               0.000298,               0.000298,               0.000298
                    100,                0.44539,                0.30287,                 0.8984,                 0.9556,                0.94868,                0.97839,                0.89903,                0.64472,                0.42939,                0.97867,               0.000199,               0.000199,               0.000199
